Vendors,Exposeds,Number_of_Devices,Percent
Lexmark International,2,2,100%
Onda Communication,0,1,0%
Huawei Technologies,9,42,21%
Unknown,11,13,85%
Sony Mobile Communications,41,99,41%
Gionee Communication Equipment Coltdshenzhen,0,3,0%
Asustek Computer,13,17,76%
Gvc,0,1,0%
Sony Interactive Entertainment,1,1,100%
Ampak Technology,0,2,0%
Liteon Technology,5,19,26%
D-link International,1,1,100%
Cybertan Technology,0,2,0%
Taiyo Yuden,0,1,0%
Mediatek,1,2,50%
Guangdong Oppo Mobile Telecommunications Corp,0,1,0%
Xavi Technologies,0,1,0%
Samsung Electronics,252,1024,25%
Sitecom Europe Bv,1,1,100%
Lg Innotek,0,3,0%
Universal Global Scientific Industrial,5,6,83%
Sim Technology Group Shanghai Simcom,0,2,0%
Media Devices,0,1,0%
Inpro Comm,0,2,0%
Nokia,53,586,9%
Wistron,1,2,50%
Lge,3,7,43%
Shenzhen Shixuntong Information & Technoligy,0,1,0%
Waterworld Technology,1,1,100%
Netgear,2,2,100%
Zebra Technologies,19,19,100%
Nintendo,5,8,62%
Rim Testing Services,1,1,100%
Sony,1,1,100%
Wistron Neweb,1,3,33%
Shenzhen Tinno Mobile Technology,21,26,81%
Witron Technology,0,1,0%
Mynah Technologies,0,1,0%
Mmc Technology,1,1,100%
Intel,5,21,24%
Acsip Technology,2,10,20%
ZTE,0,3,0%
Twinhan Technology,0,1,0%
Rainsun Enterprise,0,1,0%
Azurewave Technology,3,21,14%
Qisda,1,2,50%
Arris Group,6,6,100%
Belkin International,2,2,100%
Samsung Electro Mechanics,312,839,37%
Compal Communications,3,8,38%
Murata Manufacturing,152,401,38%
Hewlett Packard,1,1,100%
Rebound Telecom,1,1,100%
Lg Electronics Mobile Communications,9,74,12%
Summit Data Communications,1,1,100%
Alpha Networks,1,1,100%
HTC,67,125,54%
Apple,2548,5682,45%
Mitsumi Electric,2,2,100%
Sychip,0,1,0%
Foxconn (Hon Hai Precision Industry),8,37,22%
Actiontec Electronics,1,1,100%
Mettler-toledo,0,1,0%
Blackberry Rts,29,30,97%
Gemtek Technology,0,1,0%
Pegatron,0,2,0%
Azurewave Technologies Shanghai,0,3,0%
Rim,64,64,100%
Samsung Electro-mechanicsthailand,1,7,14%
Lenovo Mobile Communication Technology,2,4,50%
Western Digital,2,2,100%
Pantech,0,1,0%
Tct Mobile,17,48,35%
Askey Computer,0,1,0%
