Vendors,Number_of_Devices
Lexmark International,2
Onda Communication,1
Huawei Technologies,42
Unknown,13
Sony Mobile Communications,99
Gionee Communication Equipment Coltdshenzhen,3
Asustek Computer,17
Gvc,1
Sony Interactive Entertainment,1
Ampak Technology,2
Liteon Technology,19
D-link International,1
Cybertan Technology,2
Taiyo Yuden,1
Alpha Networks,1
Mediatek,2
Guangdong Oppo Mobile Telecommunications Corp,1
Xavi Technologies,1
Samsung Electronics,1024
Sitecom Europe Bv,1
Lg Innotek,3
Universal Global Scientific Industrial,6
Sim Technology Group Shanghai Simcom,2
Media Devices,1
Inpro Comm,2
Nokia,586
Wistron,2
Lge,7
Shenzhen Shixuntong Information & Technoligy,1
Waterworld Technology,1
Netgear,2
Zebra Technologies,19
Nintendo,8
Rim Testing Services,1
Sony,1
Wistron Neweb,3
Shenzhen Tinno Mobile Technology,26
Witron Technology,1
Mynah Technologies,1
Mmc Technology,1
Intel,21
Acsip Technology,10
ZTE,3
Twinhan Technology,1
Rainsun Enterprise,1
Azurewave Technology,21
Qisda,2
Arris Group,6
Belkin International,2
Samsung Electro Mechanics,839
Compal Communications,8
Murata Manufacturing,401
Hewlett Packard,1
Rebound Telecom,1
Lg Electronics Mobile Communications,74
Summit Data Communications,1
HTC,125
Apple,5682
Mitsumi Electric,2
Sychip,1
Foxconn (Hon Hai Precision Industry),37
Actiontec Electronics,1
Mettler-toledo,1
Blackberry Rts,30
Gemtek Technology,1
Pegatron,2
Azurewave Technologies Shanghai,3
Rim,64
Samsung Electro-mechanicsthailand,7
Lenovo Mobile Communication Technology,4
Western Digital,2
Pantech,1
Tct Mobile,48
Askey Computer,1
